Date,Open,High,Low,Close,Adj Close,Volume
9/8/2016,805.219971,808.419983,801.01001,802.840027,802.840027,1175200
9/9/2016,798.77002,801.75,788.049988,788.47998,788.47998,1887600
9/12/2016,784.52002,800.169983,783.5,798.820007,798.820007,1863700
9/13/2016,794.01001,795.789978,784.330017,788.719971,788.719971,1809000
9/14/2016,787.530029,796.330017,787.530029,790.460022,790.460022,1292100
9/15/2016,790.01001,803.650024,788.659973,801.22998,801.22998,1557200
9/16/2016,799.02002,799.02002,793.619995,797.969971,797.969971,2130600
9/19/2016,801.109985,803.98999,793.559998,795.390015,795.390015,1146700
9/20/2016,800,802.75,798.26001,799.780029,799.780029,1049200
9/21/2016,801.26001,805.909973,796.030029,805.030029,805.030029,1348500
9/22/2016,810,819.059998,807.710022,815.950012,815.950012,1759300
9/23/2016,815.140015,817,812.72998,814.960022,814.960022,1411700
9/26/2016,809.820007,810.080017,800.450012,802.650024,802.650024,1472700
9/27/2016,801.830017,813.48999,801.830017,810.72998,810.72998,1367300
9/28/2016,804.080017,810.25,802.780029,810.059998,810.059998,1470300
9/29/2016,807.22998,813.909973,800.859985,802.640015,802.640015,1350000
9/30/2016,803.599976,808.090027,801.5,804.059998,804.059998,1660200
10/3/2016,802.549988,803.539978,796.22998,800.380005,800.380005,1489200
10/4/2016,805,806.5,799.669983,802.789978,802.789978,1258700
10/5/2016,806,808.5,800.710022,801.22998,801.22998,1213800
10/6/2016,804.080017,806.950012,800.51001,803.080017,803.080017,1099900
10/7/2016,805.929993,805.940002,796.820007,800.710022,800.710022,1163100
10/10/2016,803.929993,817.380005,802.23999,814.169983,814.169983,1488500
10/11/2016,814.169983,819.859985,807.369995,809.570007,809.570007,1721600
10/12/2016,811.960022,814.5,808.549988,811.77002,811.77002,907900
10/13/2016,806.070007,806.559998,798.619995,804.080017,804.080017,1369000
10/14/2016,807.450012,810.090027,802.320007,804.599976,804.599976,1111900
10/17/2016,805.98999,813.48999,803.830017,806.840027,806.840027,1056400
10/18/2016,814.210022,828.809998,813.330017,821.48999,821.48999,2273700
10/19/2016,822.880005,829.799988,822.880005,826.840027,826.840027,1500100
10/20/2016,827.559998,828.469971,820.549988,821.630005,821.630005,1393900
10/21/2016,820,824.289978,818.309998,824.059998,824.059998,1615800
10/24/2016,830.090027,837.940002,829.039978,835.73999,835.73999,1447600
10/25/2016,838.5,838.5,825.299988,828.549988,828.549988,1890700
10/26/2016,827.119995,827.710022,816.349976,822.099976,822.099976,1794900
10/27/2016,823.01001,826.580017,814.609985,817.349976,817.349976,2973500
10/28/2016,829.940002,839,817,819.559998,819.559998,4354900
10/31/2016,822.429993,822.630005,808,809.900024,809.900024,2242700
11/1/2016,810.869995,813.960022,798.26001,805.47998,805.47998,2355900
11/2/2016,806.76001,806.76001,785,788.419983,788.419983,2350700
11/3/2016,784.5,790,778.630005,782.190002,782.190002,2175200
11/4/2016,771.299988,788.47998,771,781.099976,781.099976,1970600
11/7/2016,794.950012,805,792.900024,802.030029,802.030029,1992600
11/8/2016,802.030029,816.039978,799.619995,811.97998,811.97998,1754700
11/9/2016,801.830017,811.710022,792.039978,805.590027,805.590027,3098500
11/10/2016,810,810.059998,768.22998,780.289978,780.289978,5909600
11/11/2016,776.809998,777.289978,765.539978,771.75,771.75,3592600
11/14/2016,771.76001,771.780029,743.590027,753.219971,753.219971,3672000
11/15/2016,765.469971,780.23999,765.219971,775.159973,775.159973,2943900
11/16/2016,770.419983,783.5,766.330017,779.97998,779.97998,1794300
11/17/2016,782.5,788.900024,779.849976,786.159973,786.159973,1533700
11/18/2016,787.169983,791.289978,775.349976,775.969971,775.969971,1806300
11/21/2016,778.099976,786.549988,776.299988,784.799988,784.799988,1630800
11/22/2016,788.98999,793.77002,783.73999,785,785,1394200
11/23/2016,789.52002,789.52002,772.650024,779,779,1310500
