Date,Open,High,Low,Close,Adj Close,Volume
8/10/2017,935,936.299988,921.780029,923.590027,923.590027,2707400
8/11/2017,923.710022,933.359985,921.219971,930.090027,930.090027,1616700
8/14/2017,939.070007,941.039978,934.48999,938.929993,938.929993,1148500
8/15/2017,941.030029,943.070007,936.640015,938.080017,938.080017,1106500
8/16/2017,941.25,949.900024,940.039978,944.27002,944.27002,1345300
8/17/2017,942.950012,943.809998,927.640015,927.659973,927.659973,1695700
8/18/2017,926.97998,931.02002,923.450012,926.179993,926.179993,1337400
8/21/2017,925.77002,928.25,918.599976,920.869995,920.869995,1301200
8/22/2017,926.960022,941.960022,926.169983,940.400024,940.400024,1775100
8/23/2017,937,945.429993,935.23999,942.580017,942.580017,1134500
8/24/2017,943.710022,946.309998,930.73999,936.890015,936.890015,1294600
8/25/2017,939.210022,940.72998,930.099976,930.5,930.5,1187300
8/28/2017,931.880005,934.849976,926.109985,928.130005,928.130005,1049400
8/29/2017,919.950012,938.190002,919.309998,935.75,935.75,1158600
8/30/2017,935.669983,945.859985,934.049988,943.630005,943.630005,1120300
8/31/2017,946.299988,957.200012,946.25,955.23999,955.23999,1693300
9/1/2017,957.469971,958.330017,950.280029,951.98999,951.98999,1042900
9/5/2017,946.859985,951.390015,935.599976,941.47998,941.47998,1457400
9/6/2017,943.869995,944.5,932.679993,942.02002,942.02002,1391500
9/7/2017,944.25,950.5,937.530029,949.890015,949.890015,1116600
